timestamp,date,hour,day_of_week,item,price,staff,is_weekend
2024-01-01 06:24:00,2024-01-01,6,Monday,Bottomless Drink,25,Marcus,False
2024-01-01 07:52:00,2024-01-01,7,Monday,Peri-Peri Chicken,89,Priya,False
2024-01-01 07:52:00,2024-01-01,7,Monday,Halloumi Sticks,45,Leila,False
2024-01-01 08:17:00,2024-01-01,8,Monday,Peri-Peri Chicken,89,Thabo,False
2024-01-01 09:40:00,2024-01-01,9,Monday,Bottomless Drink,25,Leila,False
2024-01-01 09:42:00,2024-01-01,9,Monday,Chicken Wrap,65,Thabo,False
2024-01-01 09:46:00,2024-01-01,9,Monday,Bottled Water,15,Leila,False
2024-01-01 09:46:00,2024-01-01,9,Monday,Chicken Wrap,65,Zanele,False
2024-01-01 10:06:00,2024-01-01,10,Monday,Chicken Wrap,65,Dev,False
2024-01-01 10:06:00,2024-01-01,10,Monday,Chicken Wrap,65,Leila,False
2024-01-01 10:06:00,2024-01-01,10,Monday,Peri-Peri Chicken,89,Priya,False
2024-01-01 10:06:00,2024-01-01,10,Monday,Veggie Burger,58,Thabo,False
2024-01-01 10:06:00,2024-01-01,10,Monday,Chicken Wrap,65,Dev,False
2024-01-01 11:08:00,2024-01-01,11,Monday,Veggie Burger,58,Thabo,False
2024-01-01 11:14:00,2024-01-01,11,Monday,Chicken Burger,55,Zanele,False
2024-01-01 11:47:00,2024-01-01,11,Monday,Coleslaw,18,Marcus,False
2024-01-01 11:47:00,2024-01-01,11,Monday,Chicken Wrap,65,Zanele,False
2024-01-01 11:53:00,2024-01-01,11,Monday,Halloumi Sticks,45,Zanele,False
2024-01-01 11:53:00,2024-01-01,11,Monday,Veggie Burger,58,Dev,False
2024-01-01 12:14:00,2024-01-01,12,Monday,Bottomless Drink,25,Thabo,False
2024-01-01 12:19:00,2024-01-01,12,Monday,Veggie Burger,58,Marcus,False
2024-01-01 12:19:00,2024-01-01,12,Monday,Corn on the Cob,22,Zanele,False
2024-01-01 12:31:00,2024-01-01,12,Monday,Bottled Water,15,Leila,False
2024-01-01 12:31:00,2024-01-01,12,Monday,Halloumi Sticks,45,Marcus,False
2024-01-01 12:38:00,2024-01-01,12,Monday,Peri-Peri Chicken,89,Dev,False
2024-01-01 12:42:00,2024-01-01,12,Monday,Coleslaw,18,Zanele,False
2024-01-01 12:42:00,2024-01-01,12,Monday,Bottomless Drink,25,Zanele,False
2024-01-01 12:57:00,2024-01-01,12,Monday,Veggie Burger,58,Zanele,False
2024-01-01 13:08:00,2024-01-01,13,Monday,Chicken Wrap,65,Thabo,False
2024-01-01 13:08:00,2024-01-01,13,Monday,Veggie Burger,58,Thabo,False
2024-01-01 13:38:00,2024-01-01,13,Monday,Chicken Burger,55,Dev,False
2024-01-01 13:40:00,2024-01-01,13,Monday,Peri-Peri Chicken,89,Leila,False
2024-01-01 13:40:00,2024-01-01,13,Monday,Veggie Burger,58,Zanele,False
2024-01-01 13:41:00,2024-01-01,13,Monday,Corn on the Cob,22,Priya,False
2024-01-01 13:41:00,2024-01-01,13,Monday,Bottled Water,15,Leila,False
2024-01-01 13:44:00,2024-01-01,13,Monday,Peri-Peri Chicken,89,Zanele,False
2024-01-01 13:44:00,2024-01-01,13,Monday,Bottomless Drink,25,Thabo,False
2024-01-01 13:44:00,2024-01-01,13,Monday,Coleslaw,18,Leila,False
2024-01-01 13:44:00,2024-01-01,13,Monday,Halloumi Sticks,45,Priya,False
2024-01-01 13:55:00,2024-01-01,13,Monday,Halloumi Sticks,45,Dev,False
2024-01-01 13:55:00,2024-01-01,13,Monday,Halloumi Sticks,45,Dev,False
2024-01-01 14:00:00,2024-01-01,14,Monday,Halloumi Sticks,45,Dev,False
2024-01-01 14:04:00,2024-01-01,14,Monday,Halloumi Sticks,45,Dev,False
2024-01-01 14:08:00,2024-01-01,14,Monday,Chicken Burger,55,Thabo,False
2024-01-01 14:08:00,2024-01-01,14,Monday,Chicken Burger,55,Leila,False
2024-01-01 14:18:00,2024-01-01,14,Monday,Halloumi Sticks,45,Priya,False
2024-01-01 14:18:00,2024-01-01,14,Monday,Chips,29,Dev,False
2024-01-01 14:26:00,2024-01-01,14,Monday,Corn on the Cob,22,Thabo,False
2024-01-01 14:26:00,2024-01-01,14,Monday,Bottomless Drink,25,Dev,False
2024-01-01 14:55:00,2024-01-01,14,Monday,Coleslaw,18,Leila,False
2024-01-01 14:55:00,2024-01-01,14,Monday,Corn on the Cob,22,Thabo,False
2024-01-01 14:55:00,2024-01-01,14,Monday,Chicken Burger,55,Thabo,False
2024-01-01 15:07:00,2024-01-01,15,Monday,Bottled Water,15,Leila,False
2024-01-01 15:07:00,2024-01-01,15,Monday,Corn on the Cob,22,Dev,False
2024-01-01 15:07:00,2024-01-01,15,Monday,Veggie Burger,58,Priya,False
2024-01-01 15:07:00,2024-01-01,15,Monday,Coleslaw,18,Zanele,False
2024-01-01 15:17:00,2024-01-01,15,Monday,Coleslaw,18,Leila,False
2024-01-01 15:17:00,2024-01-01,15,Monday,Corn on the Cob,22,Thabo,False
2024-01-01 15:17:00,2024-01-01,15,Monday,Corn on the Cob,22,Thabo,False
2024-01-01 15:17:00,2024-01-01,15,Monday,Bottled Water,15,Priya,False
2024-01-01 15:27:00,2024-01-01,15,Monday,Chips,29,Thabo,False
2024-01-01 15:36:00,2024-01-01,15,Monday,Halloumi Sticks,45,Priya,False
2024-01-01 15:36:00,2024-01-01,15,Monday,Chicken Wrap,65,Priya,False
2024-01-01 15:36:00,2024-01-01,15,Monday,Chicken Wrap,65,Leila,False
2024-01-01 15:36:00,2024-01-01,15,Monday,Chicken Burger,55,Thabo,False
2024-01-01 15:50:00,2024-01-01,15,Monday,Chips,29,Dev,False
2024-01-01 15:50:00,2024-01-01,15,Monday,Chicken Burger,55,Marcus,False
2024-01-01 16:35:00,2024-01-01,16,Monday,Chicken Burger,55,Zanele,False
2024-01-01 16:35:00,2024-01-01,16,Monday,Corn on the Cob,22,Dev,False
2024-01-01 16:35:00,2024-01-01,16,Monday,Bottomless Drink,25,Priya,False
2024-01-01 17:33:00,2024-01-01,17,Monday,Corn on the Cob,22,Leila,False
2024-01-01 17:33:00,2024-01-01,17,Monday,Chicken Wrap,65,Priya,False
2024-01-01 18:16:00,2024-01-01,18,Monday,Halloumi Sticks,45,Thabo,False
2024-01-01 18:16:00,2024-01-01,18,Monday,Chips,29,Dev,False
2024-01-01 18:16:00,2024-01-01,18,Monday,Chicken Wrap,65,Thabo,False
2024-01-01 18:50:00,2024-01-01,18,Monday,Veggie Burger,58,Marcus,False
2024-01-01 18:50:00,2024-01-01,18,Monday,Coleslaw,18,Zanele,False
2024-01-01 18:53:00,2024-01-01,18,Monday,Chicken Burger,55,Leila,False
2024-01-01 18:57:00,2024-01-01,18,Monday,Coleslaw,18,Thabo,False
2024-01-01 18:57:00,2024-01-01,18,Monday,Chicken Burger,55,Leila,False
2024-01-01 19:03:00,2024-01-01,19,Monday,Chicken Burger,55,Zanele,False
2024-01-01 19:03:00,2024-01-01,19,Monday,Coleslaw,18,Thabo,False
2024-01-01 19:03:00,2024-01-01,19,Monday,Coleslaw,18,Leila,False
2024-01-01 19:10:00,2024-01-01,19,Monday,Peri-Peri Chicken,89,Thabo,False
2024-01-01 19:10:00,2024-01-01,19,Monday,Veggie Burger,58,Priya,False
2024-01-01 19:21:00,2024-01-01,19,Monday,Chips,29,Leila,False
2024-01-01 19:21:00,2024-01-01,19,Monday,Corn on the Cob,22,Priya,False
2024-01-01 19:21:00,2024-01-01,19,Monday,Bottomless Drink,25,Leila,False
2024-01-01 19:26:00,2024-01-01,19,Monday,Coleslaw,18,Thabo,False
